
============== UNKNOWN NOT REPLACED ==============

---------- entropy ----------
Depth     Train Error (%)     Test Error (%)      
1         11.92               12.48               
2         10.6                11.14               
3         10.06               10.68               
4         7.92                11.44               
5         6.12                12.42               
6         4.72                13.52               
7         3.48                14.32               
8         2.86                14.42               
9         2.3                 15.18               
10        1.7                 15.42               
11        1.44                15.6                
12        1.36                15.74               
13        1.36                15.76               
14        1.36                15.76               
15        1.36                15.76               
16        1.36                15.76               

---------- majority_error ----------
Depth     Train Error (%)     Test Error (%)      
1         10.88               11.66               
2         10.42               10.88               
3         9.6                 11.28               
4         8.04                11.8                
5         6.56                12.56               
6         5.44                13.32               
7         4.5                 14.18               
8         3.88                14.94               
9         3.22                15.5                
10        2.44                15.72               
11        2.02                16.34               
12        1.74                16.66               
13        1.56                16.92               
14        1.4                 16.86               
15        1.4                 16.86               
16        1.36                16.86               

---------- gini ----------
Depth     Train Error (%)     Test Error (%)      
1         10.88               11.66               
2         10.42               10.88               
3         9.34                11.22               
4         7.48                12.16               
5         5.98                13.26               
6         4.68                14.48               
7         3.46                15.32               
8         2.66                15.74               
9         2.12                16.5                
10        1.7                 16.92               
11        1.46                17.0                
12        1.38                17.12               
13        1.36                17.14               
14        1.36                17.14               
15        1.36                17.14               
16        1.36                17.14               

============== UNKNOWN REPLACED WITH MAX COMMON ==============

---------- entropy ----------
Depth     Train Error (%)     Test Error (%)      
1         11.92               12.48               
2         10.6                11.14               
3         10.22               10.9                
4         8.68                11.56               
5         7.14                12.64               
6         5.68                13.42               
7         4.52                14.24               
8         3.86                14.64               
9         3.2                 15.38               
10        2.64                16.28               
11        2.34                16.0                
12        2.22                16.12               
13        2.2                 16.08               
14        2.2                 16.08               
15        2.2                 16.08               
16        2.2                 16.08               

---------- majority_error ----------
Depth     Train Error (%)     Test Error (%)      
1         10.88               11.66               
2         10.5                11.02               
3         9.76                11.38               
4         8.46                11.76               
5         7.44                12.2                
6         6.6                 12.54               
7         5.52                13.96               
8         4.78                14.56               
9         4.02                14.86               
10        3.56                15.08               
11        3.06                15.58               
12        2.8                 15.7                
13        2.54                16.18               
14        2.2                 16.26               
15        2.2                 16.26               
16        2.2                 16.26               

---------- gini ----------
Depth     Train Error (%)     Test Error (%)      
1         10.88               11.66               
2         10.52               11.04               
3         10.1                10.82               
4         8.76                11.56               
5         7.38                12.66               
6         5.72                13.5                
7         4.5                 14.78               
8         3.68                14.88               
9         2.92                15.92               
10        2.46                16.56               
11        2.24                16.32               
12        2.2                 16.42               
13        2.2                 16.42               
14        2.2                 16.42               
15        2.2                 16.42               
16        2.2                 16.42               
