Iteration,Training Error (%),Testing Error (%)
0,18.08,17.88
1,18.08,17.88
2,18.08,17.88
3,18.08,17.88
4,18.08,17.88
5,18.08,17.88
6,18.08,17.88
7,18.08,17.88
8,18.08,17.83
9,18.08,17.83
10,17.98,17.75
11,18.06,17.77
12,18.06,17.82
13,18.05,17.77
14,18.1,17.85
15,18.0,17.75
16,18.01,17.77
17,18.01,17.75
18,18.05,17.78
19,18.04,17.87
20,18.03,17.83
21,18.0,17.8
22,18.05,17.8
23,18.1,17.87
24,18.1,17.83
25,18.18,17.95
26,18.12,17.92
27,18.12,17.93
28,18.12,17.92
29,18.12,17.93
30,18.12,17.9
31,18.12,17.92
32,18.12,17.9
33,18.18,17.95
34,18.13,17.97
35,18.06,17.88
36,18.14,17.93
37,18.13,17.93
38,18.14,17.9
39,18.13,17.9
40,18.14,17.9
41,18.13,17.9
42,18.14,17.9
43,18.13,17.9
44,18.12,17.93
45,18.12,17.95
46,18.13,17.95
47,18.12,17.95
48,18.13,17.95
49,18.12,17.95
50,18.13,17.95
51,18.12,17.95
52,18.12,17.93
53,18.12,17.95
54,18.12,17.93
55,18.12,17.93
56,18.12,17.93
57,18.12,17.93
58,18.12,17.93
59,18.12,17.9
60,18.08,17.83
61,18.09,17.87
62,18.1,17.85
63,18.09,17.85
64,18.1,17.87
65,18.09,17.87
66,18.14,17.92
67,18.12,18.03
68,18.1,17.92
69,18.11,17.93
70,18.1,17.92
71,18.11,17.93
72,18.1,17.92
73,18.11,17.93
74,18.1,17.92
75,18.11,17.93
76,18.1,17.92
77,18.11,17.93
78,18.1,17.92
79,18.11,17.93
80,18.1,17.92
81,18.11,17.93
82,18.1,17.92
83,18.1,17.93
84,18.1,17.92
85,18.1,17.93
86,18.1,17.92
87,18.1,17.93
88,18.1,17.92
89,18.1,17.93
90,18.1,17.92
91,18.1,17.93
92,18.1,17.92
93,18.1,17.93
94,18.1,17.92
95,18.1,17.93
96,18.1,17.92
97,18.11,17.87
98,18.1,17.93
99,18.11,17.88
100,18.11,17.9
101,18.1,17.9
102,18.11,17.9
103,18.1,17.9
104,18.11,17.9
105,18.1,17.9
106,18.13,17.97
107,18.1,17.98
108,18.08,17.93
109,18.1,17.97
110,18.08,17.93
111,18.1,17.97
112,18.08,17.93
113,18.1,17.97
114,18.08,17.93
115,18.1,17.97
116,18.08,17.93
117,18.1,17.97
118,18.08,17.93
119,18.1,17.97
120,18.08,17.93
121,18.1,17.97
122,18.08,17.93
123,18.1,17.97
124,18.08,17.93
125,18.1,17.97
126,18.08,17.93
127,18.1,17.97
128,18.08,17.93
129,18.1,17.97
130,18.08,17.93
131,18.1,17.97
132,18.08,17.93
133,18.1,17.97
134,18.08,17.93
135,18.1,17.97
136,18.08,17.93
137,18.1,17.97
138,18.08,17.93
139,18.1,17.97
140,18.07,17.87
141,18.09,17.85
142,18.09,17.87
143,18.08,17.85
144,18.1,17.87
145,18.08,17.85
146,18.1,17.87
147,18.08,17.85
148,18.1,17.87
149,18.08,17.85
150,18.1,17.87
151,18.08,17.85
152,18.1,17.87
153,18.08,17.85
154,18.1,17.87
155,18.08,17.85
156,18.1,17.87
157,18.08,17.85
158,18.1,17.87
159,18.08,17.85
160,18.1,17.87
161,18.08,17.85
162,18.1,17.87
163,18.08,17.85
164,18.1,17.87
165,18.09,17.85
166,18.09,17.85
167,18.09,17.85
168,18.09,17.85
169,18.09,17.85
170,18.09,17.85
171,18.09,17.85
172,18.09,17.85
173,18.09,17.85
174,18.09,17.85
175,18.09,17.85
176,18.09,17.85
177,18.09,17.85
178,18.09,17.85
179,18.09,17.85
180,18.09,17.85
181,18.09,17.85
182,18.09,17.85
183,18.09,17.85
184,18.09,17.85
185,18.09,17.85
186,18.09,17.85
187,18.09,17.85
188,18.09,17.85
189,18.09,17.85
190,18.09,17.85
191,18.09,17.85
192,18.09,17.85
193,18.09,17.85
194,18.09,17.85
195,18.09,17.85
196,18.09,17.85
197,18.09,17.85
198,18.09,17.85
199,18.09,17.85
200,18.09,17.85
201,18.09,17.85
202,18.09,17.85
203,18.09,17.85
204,18.09,17.85
205,18.09,17.85
206,18.09,17.85
207,18.09,17.85
208,18.09,17.85
209,18.09,17.85
210,18.09,17.85
211,18.09,17.85
212,18.09,17.85
213,18.09,17.85
214,18.09,17.85
215,18.09,17.85
216,18.09,17.85
217,18.09,17.85
218,18.09,17.85
219,18.09,17.85
220,18.09,17.85
221,18.09,17.85
222,18.09,17.85
223,18.09,17.85
224,18.09,17.85
225,18.09,17.85
226,18.09,17.85
227,18.09,17.85
228,18.09,17.85
229,18.09,17.85
230,18.09,17.85
231,18.09,17.85
232,18.09,17.85
233,18.09,17.85
234,18.09,17.85
235,18.09,17.85
236,18.09,17.85
237,18.09,17.85
238,18.09,17.85
239,18.09,17.85
240,18.09,17.85
241,18.09,17.85
242,18.09,17.85
243,18.09,17.85
244,18.09,17.85
245,18.09,17.85
246,18.09,17.85
247,18.09,17.85
248,18.09,17.85
249,18.09,17.85
250,18.09,17.85
251,18.09,17.85
252,18.09,17.85
253,18.09,17.85
254,18.09,17.85
255,18.09,17.85
256,18.09,17.85
257,18.09,17.85
258,18.09,17.85
259,18.09,17.85
260,18.09,17.85
261,18.09,17.85
262,18.09,17.85
263,18.09,17.85
264,18.09,17.85
265,18.09,17.85
266,18.09,17.85
267,18.09,17.85
268,18.09,17.85
269,18.09,17.85
270,18.09,17.85
271,18.09,17.85
272,18.09,17.85
273,18.09,17.85
274,18.09,17.85
275,18.09,17.85
276,18.09,17.85
277,18.09,17.85
278,18.09,17.85
279,18.09,17.85
280,18.09,17.85
281,18.09,17.85
282,18.09,17.85
283,18.09,17.85
284,18.09,17.85
285,18.09,17.85
286,18.09,17.85
287,18.09,17.85
288,18.09,17.85
289,18.09,17.85
290,18.09,17.85
291,18.09,17.85
292,18.09,17.85
293,18.09,17.85
294,18.09,17.85
295,18.09,17.85
296,18.09,17.85
297,18.09,17.85
298,18.09,17.85
299,18.09,17.85
300,18.09,17.85
301,18.09,17.85
302,18.09,17.85
303,18.09,17.85
304,18.09,17.85
305,18.09,17.85
306,18.09,17.85
307,18.09,17.85
308,18.09,17.85
309,18.09,17.85
310,18.09,17.85
311,18.09,17.85
312,18.09,17.85
313,18.09,17.85
314,18.09,17.85
315,18.09,17.85
316,18.09,17.85
317,18.09,17.85
318,18.09,17.85
319,18.09,17.85
320,18.09,17.85
321,18.09,17.85
322,18.09,17.85
323,18.09,17.85
324,18.09,17.85
325,18.09,17.85
326,18.09,17.85
327,18.09,17.85
328,18.09,17.85
329,18.09,17.85
330,18.09,17.85
331,18.09,17.85
332,18.09,17.85
333,18.09,17.85
334,18.09,17.85
335,18.09,17.85
336,18.09,17.85
337,18.09,17.85
338,18.09,17.85
339,18.09,17.85
340,18.09,17.85
341,18.09,17.85
342,18.09,17.85
343,18.09,17.85
344,18.09,17.85
345,18.09,17.85
346,18.09,17.85
347,18.09,17.85
348,18.09,17.85
349,18.09,17.85
350,18.09,17.85
351,18.09,17.85
352,18.09,17.85
353,18.09,17.85
354,18.09,17.85
355,18.09,17.85
356,18.09,17.85
357,18.09,17.85
358,18.09,17.85
359,18.09,17.85
360,18.09,17.85
361,18.09,17.85
362,18.09,17.85
363,18.09,17.85
364,18.09,17.85
365,18.09,17.85
366,18.09,17.85
