Iteration,Training Error (%),Testing Error (%)
0,11.92,12.479999999999999
1,11.92,12.479999999999999
2,11.92,12.479999999999999
3,11.92,12.479999999999999
4,11.24,11.74
5,11.360000000000001,12.18
6,11.0,11.3
7,11.0,11.3
8,10.68,11.04
9,10.68,11.08
10,10.56,10.879999999999999
11,10.68,11.020000000000001
12,10.38,10.72
13,10.54,10.879999999999999
14,10.4,10.8
15,10.42,10.54
16,10.58,10.84
17,10.7,10.8
18,10.620000000000001,10.8
19,10.56,10.7
20,10.48,10.76
21,10.5,10.6
22,10.48,10.6
23,10.4,10.54
24,10.36,10.56
25,10.36,10.52
26,10.5,10.42
27,10.36,10.48
28,10.4,10.440000000000001
29,10.38,10.5
30,10.459999999999999,10.459999999999999
31,10.42,10.440000000000001
32,10.459999999999999,10.459999999999999
33,10.42,10.5
34,10.299999999999999,10.48
35,10.34,10.5
36,10.32,10.54
37,10.36,10.52
38,10.280000000000001,10.52
39,10.26,10.56
40,10.280000000000001,10.6
41,10.26,10.639999999999999
42,10.280000000000001,10.639999999999999
43,10.32,10.6
44,10.299999999999999,10.68
45,10.32,10.620000000000001
46,10.280000000000001,10.7
47,10.280000000000001,10.66
48,10.26,10.66
49,10.26,10.620000000000001
50,10.280000000000001,10.6
51,10.26,10.639999999999999
52,10.36,10.68
53,10.34,10.639999999999999
54,10.299999999999999,10.68
55,10.299999999999999,10.68
56,10.32,10.7
57,10.299999999999999,10.68
58,10.32,10.7
59,10.299999999999999,10.68
60,10.299999999999999,10.68
61,10.32,10.74
62,10.299999999999999,10.7
63,10.299999999999999,10.72
64,10.34,10.7
65,10.36,10.7
66,10.299999999999999,10.7
67,10.38,10.72
68,10.36,10.74
69,10.38,10.72
70,10.36,10.74
71,10.38,10.72
72,10.34,10.74
73,10.34,10.74
74,10.32,10.76
75,10.32,10.780000000000001
76,10.32,10.8
77,10.32,10.780000000000001
78,10.299999999999999,10.780000000000001
79,10.32,10.780000000000001
80,10.32,10.76
81,10.32,10.780000000000001
82,10.32,10.74
83,10.299999999999999,10.76
84,10.299999999999999,10.74
85,10.280000000000001,10.780000000000001
86,10.280000000000001,10.780000000000001
87,10.280000000000001,10.8
88,10.280000000000001,10.780000000000001
89,10.280000000000001,10.780000000000001
90,10.26,10.8
91,10.280000000000001,10.780000000000001
92,10.26,10.8
93,10.26,10.780000000000001
94,10.280000000000001,10.780000000000001
95,10.26,10.8
96,10.280000000000001,10.780000000000001
97,10.299999999999999,10.780000000000001
98,10.280000000000001,10.76
99,10.26,10.780000000000001
100,10.299999999999999,10.76
101,10.26,10.780000000000001
102,10.299999999999999,10.76
103,10.26,10.780000000000001
104,10.299999999999999,10.76
105,10.26,10.76
106,10.26,10.74
107,10.280000000000001,10.74
108,10.26,10.74
109,10.280000000000001,10.74
110,10.26,10.74
111,10.299999999999999,10.76
112,10.26,10.74
113,10.26,10.76
114,10.26,10.76
115,10.26,10.76
116,10.26,10.76
117,10.26,10.76
118,10.26,10.74
119,10.26,10.76
120,10.26,10.76
121,10.26,10.76
122,10.26,10.76
123,10.280000000000001,10.8
124,10.26,10.74
125,10.26,10.780000000000001
126,10.280000000000001,10.74
127,10.26,10.74
128,10.280000000000001,10.74
129,10.280000000000001,10.74
130,10.280000000000001,10.76
131,10.280000000000001,10.74
132,10.280000000000001,10.74
133,10.280000000000001,10.74
134,10.280000000000001,10.74
135,10.280000000000001,10.74
136,10.280000000000001,10.74
137,10.280000000000001,10.74
138,10.280000000000001,10.74
139,10.280000000000001,10.72
140,10.26,10.74
141,10.26,10.74
142,10.26,10.74
143,10.26,10.74
144,10.26,10.74
145,10.26,10.74
146,10.26,10.72
147,10.26,10.72
148,10.26,10.72
149,10.26,10.72
150,10.26,10.72
151,10.280000000000001,10.72
152,10.26,10.72
153,10.26,10.72
154,10.26,10.72
155,10.26,10.72
156,10.26,10.72
157,10.26,10.72
158,10.26,10.72
159,10.26,10.72
160,10.26,10.72
161,10.280000000000001,10.72
162,10.26,10.72
163,10.26,10.72
164,10.26,10.72
165,10.26,10.72
166,10.26,10.72
167,10.26,10.72
168,10.26,10.72
169,10.26,10.72
170,10.26,10.72
171,10.26,10.72
172,10.26,10.72
173,10.26,10.72
174,10.26,10.72
175,10.26,10.72
176,10.280000000000001,10.72
177,10.280000000000001,10.72
178,10.26,10.72
179,10.280000000000001,10.72
