Iteration,Training Stump Error (%),Testing Stump Error (%)
0,11.92,12.479999999999999
1,41.42,40.760000000000005
2,19.7,20.3
3,61.980000000000004,61.44
4,10.879999999999999,11.66
5,80.36,79.82000000000001
6,41.92,40.72
7,41.42,40.760000000000005
8,32.7,34.0
9,73.72,73.83999999999999
10,10.879999999999999,11.66
11,40.36,40.42
12,73.88,74.11999999999999
13,38.879999999999995,38.32
14,50.160000000000004,50.03999999999999
15,73.72,73.83999999999999
16,25.88,25.840000000000003
17,34.62,35.9
18,64.18,63.38
19,18.4,19.12
20,69.12,69.74000000000001
21,47.68,47.02
22,41.42,40.760000000000005
23,10.879999999999999,11.66
24,55.879999999999995,54.98
25,62.9,62.6
26,57.120000000000005,56.76
27,46.800000000000004,47.46
28,10.879999999999999,11.66
29,75.18,75.44
30,61.980000000000004,61.44
31,11.92,12.479999999999999
32,73.72,73.83999999999999
33,36.3,36.68
34,10.879999999999999,11.66
35,81.89999999999999,82.12
36,24.58,24.18
37,58.08,59.28
38,77.5,77.18
39,32.019999999999996,32.940000000000005
40,73.72,73.83999999999999
41,16.78,17.16
42,65.16,64.2
43,46.400000000000006,49.16
44,41.24,40.38
45,61.980000000000004,61.44
46,10.879999999999999,11.66
47,86.38,86.16
48,41.42,40.760000000000005
49,21.68,21.560000000000002
50,86.38,86.16
51,24.52,25.56
52,52.480000000000004,53.16
53,86.38,86.16
54,10.879999999999999,11.66
55,83.89999999999999,83.89999999999999
56,11.92,12.479999999999999
57,86.38,86.16
58,11.92,12.479999999999999
59,86.38,86.16
60,73.72,73.83999999999999
61,16.78,17.16
62,55.66,56.32
63,86.38,86.16
64,34.08,33.36
65,86.38,86.16
66,10.879999999999999,11.66
67,84.88,84.72
68,11.92,12.479999999999999
69,86.38,86.16
70,11.92,12.479999999999999
71,86.38,86.16
72,44.2,45.46
73,61.980000000000004,61.44
74,11.92,12.479999999999999
75,61.12,61.68
76,11.92,12.479999999999999
77,86.38,86.16
78,73.72,73.83999999999999
79,36.22,36.5
80,21.560000000000002,21.54
81,86.38,86.16
82,10.879999999999999,11.66
83,58.08,59.28
84,53.16,52.339999999999996
85,68.66,68.14
86,34.62,35.9
87,65.16,64.2
88,49.559999999999995,49.8
89,77.5,77.18
90,61.980000000000004,61.44
91,11.92,12.479999999999999
92,86.38,86.16
93,41.42,40.760000000000005
94,12.06,12.36
95,86.38,86.16
96,39.46,39.800000000000004
97,10.879999999999999,11.66
98,84.88,84.72
99,73.72,73.83999999999999
100,11.88,12.280000000000001
101,86.38,86.16
102,10.879999999999999,11.66
103,75.18,75.44
104,21.68,21.560000000000002
105,86.38,86.16
106,58.24,58.040000000000006
107,10.879999999999999,11.66
108,86.38,86.16
109,22.900000000000002,23.14
110,84.88,84.72
111,14.52,15.440000000000001
112,84.88,84.72
113,15.36,16.2
114,77.5,77.18
115,41.42,40.760000000000005
116,11.92,12.479999999999999
117,86.38,86.16
118,46.400000000000006,49.16
119,68.66,68.14
120,11.92,12.479999999999999
121,73.72,73.83999999999999
122,16.78,17.16
123,58.08,59.28
124,61.980000000000004,61.44
125,10.879999999999999,11.66
126,63.63999999999999,63.580000000000005
127,55.08,54.98
128,42.5,41.760000000000005
129,86.38,86.16
130,14.52,15.440000000000001
131,84.88,84.72
132,18.4,19.12
133,86.38,86.16
134,24.4,24.099999999999998
135,77.5,77.18
136,36.3,37.56
137,11.92,12.479999999999999
138,86.38,86.16
139,40.44,41.839999999999996
140,20.94,21.04
141,88.08,87.52
142,14.52,15.440000000000001
143,84.88,84.72
144,11.92,12.479999999999999
145,86.38,86.16
146,37.019999999999996,36.720000000000006
147,86.38,86.16
148,11.92,12.479999999999999
149,86.38,86.16
150,18.4,19.12
151,27.42,27.52
152,84.88,84.72
153,11.92,12.479999999999999
154,86.38,86.16
155,73.72,73.83999999999999
156,11.88,12.280000000000001
157,85.02,84.64
158,14.48,15.22
159,86.38,86.16
160,46.839999999999996,46.14
161,14.52,15.440000000000001
162,84.88,84.72
163,86.38,86.16
164,11.92,12.479999999999999
165,86.38,86.16
166,31.840000000000003,32.32
167,27.68,27.46
168,86.38,86.16
169,11.92,12.479999999999999
170,71.84,72.39999999999999
171,31.44,31.1
172,87.48,87.06
173,86.38,86.16
174,14.52,15.440000000000001
175,87.48,87.06
176,46.400000000000006,49.16
177,86.38,86.16
178,41.42,40.760000000000005
179,11.92,12.479999999999999
180,73.72,73.83999999999999
181,16.78,17.16
182,79.10000000000001,79.3
183,20.94,21.04
184,87.48,87.06
185,77.5,77.18
186,15.32,15.939999999999998
187,86.38,86.16
188,21.98,22.2
189,85.02,84.64
190,11.92,12.479999999999999
191,51.9,52.28
192,40.2,40.36
193,76.94,76.2
194,14.52,15.440000000000001
195,87.48,87.06
196,61.980000000000004,61.44
197,21.68,21.560000000000002
198,86.38,86.16
199,31.080000000000002,31.16
200,60.08,60.660000000000004
201,16.520000000000003,16.6
202,64.66,64.16
203,59.84,60.8
204,42.26,41.120000000000005
205,57.14,58.42
206,42.26,41.120000000000005
207,39.98,41.52
208,61.980000000000004,60.760000000000005
209,86.38,86.16
210,11.92,12.479999999999999
211,72.26,72.26
212,41.72,42.46
213,18.4,19.12
214,87.48,87.06
215,48.02,49.04
216,74.38,74.86
