Iteration,Training Error (%),Testing Error (%)
0,20.58,26.88
1,32.5,40.5
2,15.67,22.78
3,22.08,29.43
4,14.24,21.12
5,18.18,24.97
6,13.42,20.33
7,16.41,23.18
8,13.08,19.63
9,15.32,22.07
10,12.69,19.13
11,14.62,21.1
12,12.61,19.13
13,14.32,20.77
14,12.45,18.95
15,13.86,20.15
16,12.54,18.55
17,13.72,19.57
18,12.41,18.47
19,13.51,19.75
20,12.31,18.63
21,13.27,19.78
22,12.32,18.77
23,13.38,19.65
24,12.41,18.82
25,13.28,19.57
26,12.3,18.82
27,13.28,19.43
28,12.35,18.7
29,13.22,19.32
30,12.33,18.55
31,13.19,19.12
32,12.33,18.33
33,13.13,18.9
34,12.36,18.18
35,13.12,18.9
36,12.38,18.22
37,12.97,18.77
38,12.4,18.25
39,12.97,18.72
40,12.4,18.25
41,13.05,18.73
42,12.43,18.28
43,13.04,18.67
44,12.47,18.22
45,12.98,18.48
46,12.43,18.18
47,12.91,18.55
48,12.33,18.18
49,12.95,18.58
50,12.4,18.05
51,12.88,18.5
52,12.35,18.12
53,12.82,18.58
54,12.37,18.1
55,12.78,18.45
56,12.36,18.18
57,12.78,18.37
58,12.36,17.98
59,12.76,18.27
60,12.35,18.0
61,12.73,18.48
62,12.3,18.0
63,12.69,18.33
64,12.28,18.08
65,12.65,18.28
66,12.32,18.12
67,12.72,18.5
68,12.32,18.13
69,12.68,18.37
70,12.36,18.1
71,12.7,18.32
72,12.34,18.12
73,12.67,18.37
74,12.33,18.12
75,12.68,18.27
76,12.38,18.03
77,12.66,18.32
78,12.3,18.1
79,12.61,18.33
80,12.36,18.17
81,12.61,18.45
82,12.32,18.3
83,12.54,18.47
84,12.26,18.3
85,12.52,18.43
86,12.27,18.27
87,12.53,18.52
88,12.26,18.28
89,12.5,18.55
90,12.27,18.33
91,12.56,18.57
92,12.25,18.23
93,12.52,18.48
94,12.26,18.18
95,12.5,18.27
96,12.24,18.12
97,12.5,18.25
98,12.26,18.08
99,12.46,18.33
100,12.25,18.18
