Iteration,Training Error (%),Testing Error (%)
0,9.879999999999999,16.04
1,16.74,22.96
2,6.88,13.900000000000002
3,10.22,17.78
4,6.36,13.120000000000001
5,8.780000000000001,16.08
6,6.0600000000000005,12.959999999999999
7,7.5600000000000005,15.1
8,5.88,12.68
9,7.28,14.360000000000001
10,5.800000000000001,12.559999999999999
11,7.180000000000001,13.56
12,5.8999999999999995,12.0
13,6.98,12.98
14,5.72,11.86
15,6.64,12.68
16,5.680000000000001,11.92
17,6.460000000000001,12.6
18,5.58,11.940000000000001
19,6.18,12.620000000000001
20,5.62,11.940000000000001
21,6.279999999999999,12.520000000000001
22,5.58,11.88
23,6.18,12.44
24,5.72,11.76
25,6.22,12.379999999999999
26,5.52,11.88
27,6.0600000000000005,12.280000000000001
28,5.52,11.92
29,6.12,12.32
30,5.64,11.84
31,6.0600000000000005,12.5
32,5.58,11.62
33,5.96,12.139999999999999
34,5.54,11.74
35,5.96,12.34
36,5.54,11.78
37,5.88,12.2
38,5.38,11.86
39,5.76,12.26
40,5.4,11.84
41,5.76,12.3
42,5.319999999999999,11.98
43,5.64,12.3
44,5.319999999999999,11.92
45,5.58,12.24
46,5.3,11.98
47,5.64,12.08
48,5.319999999999999,11.899999999999999
49,5.54,12.06
50,5.220000000000001,11.899999999999999
51,5.48,12.04
52,5.26,11.84
53,5.42,12.18
54,5.220000000000001,11.82
55,5.46,12.02
56,5.319999999999999,11.700000000000001
57,5.4399999999999995,11.940000000000001
58,5.24,11.600000000000001
59,5.46,12.02
60,5.220000000000001,11.68
61,5.4,11.959999999999999
62,5.06,11.700000000000001
63,5.28,11.82
64,5.1,11.58
65,5.34,11.76
66,5.08,11.559999999999999
67,5.48,11.78
68,5.16,11.559999999999999
69,5.42,11.799999999999999
70,5.2,11.559999999999999
71,5.4399999999999995,11.74
72,5.28,11.52
73,5.5,11.68
74,5.34,11.52
75,5.48,11.700000000000001
76,5.319999999999999,11.540000000000001
77,5.46,11.62
78,5.26,11.48
79,5.4,11.58
80,5.34,11.42
81,5.48,11.540000000000001
82,5.34,11.42
83,5.4399999999999995,11.62
84,5.4399999999999995,11.48
85,5.58,11.700000000000001
86,5.46,11.42
87,5.52,11.62
88,5.4399999999999995,11.459999999999999
89,5.6000000000000005,11.540000000000001
90,5.4399999999999995,11.360000000000001
91,5.62,11.52
92,5.4,11.459999999999999
93,5.54,11.559999999999999
94,5.36,11.52
95,5.5,11.62
96,5.46,11.52
97,5.58,11.58
98,5.46,11.360000000000001
99,5.6000000000000005,11.48
100,5.42,11.3
101,5.54,11.459999999999999
102,5.36,11.32
103,5.52,11.4
104,5.4,11.34
105,5.62,11.459999999999999
106,5.52,11.360000000000001
107,5.64,11.459999999999999
108,5.52,11.34
109,5.64,11.52
110,5.46,11.360000000000001
111,5.58,11.48
112,5.48,11.379999999999999
113,5.66,11.559999999999999
114,5.52,11.4
115,5.64,11.5
116,5.46,11.379999999999999
117,5.52,11.4
118,5.4399999999999995,11.379999999999999
119,5.48,11.459999999999999
120,5.4399999999999995,11.4
121,5.54,11.540000000000001
122,5.46,11.379999999999999
123,5.6000000000000005,11.540000000000001
124,5.54,11.379999999999999
125,5.58,11.459999999999999
126,5.46,11.4
127,5.54,11.58
128,5.4399999999999995,11.5
129,5.52,11.58
130,5.5,11.48
131,5.6000000000000005,11.559999999999999
132,5.46,11.5
133,5.62,11.559999999999999
134,5.4399999999999995,11.52
135,5.62,11.540000000000001
136,5.52,11.42
137,5.64,11.52
138,5.52,11.44
139,5.680000000000001,11.5
140,5.58,11.42
141,5.680000000000001,11.540000000000001
142,5.5,11.42
143,5.72,11.52
144,5.52,11.42
145,5.66,11.52
146,5.56,11.42
147,5.7,11.58
148,5.54,11.44
149,5.62,11.52
150,5.56,11.459999999999999
151,5.62,11.540000000000001
152,5.48,11.459999999999999
153,5.58,11.52
154,5.52,11.42
155,5.64,11.5
156,5.56,11.379999999999999
157,5.62,11.459999999999999
158,5.48,11.360000000000001
159,5.56,11.44
160,5.46,11.379999999999999
161,5.54,11.48
162,5.38,11.4
163,5.4399999999999995,11.5
164,5.38,11.44
165,5.46,11.540000000000001
166,5.319999999999999,11.4
167,5.4,11.5
168,5.34,11.459999999999999
169,5.42,11.540000000000001
170,5.319999999999999,11.459999999999999
171,5.4,11.5
172,5.34,11.42
173,5.4399999999999995,11.5
174,5.34,11.4
175,5.42,11.44
176,5.38,11.4
177,5.46,11.540000000000001
178,5.4,11.5
179,5.48,11.559999999999999
180,5.34,11.459999999999999
181,5.42,11.559999999999999
182,5.38,11.48
183,5.42,11.540000000000001
184,5.36,11.5
185,5.4399999999999995,11.559999999999999
186,5.36,11.48
187,5.4399999999999995,11.52
188,5.38,11.44
189,5.5,11.540000000000001
190,5.36,11.48
191,5.4,11.5
192,5.36,11.5
193,5.4,11.559999999999999
194,5.34,11.5
195,5.4,11.600000000000001
196,5.3,11.5
197,5.4,11.58
198,5.36,11.459999999999999
199,5.48,11.559999999999999
200,5.36,11.5
201,5.48,11.540000000000001
202,5.36,11.5
203,5.5,11.559999999999999
204,5.42,11.48
205,5.5,11.540000000000001
206,5.42,11.44
207,5.54,11.62
208,5.4,11.52
209,5.46,11.559999999999999
210,5.319999999999999,11.52
211,5.48,11.62
212,5.38,11.62
213,5.46,11.64
214,5.38,11.62
215,5.5,11.64
216,5.38,11.540000000000001
217,5.48,11.559999999999999
218,5.34,11.559999999999999
219,5.42,11.58
220,5.34,11.58
221,5.46,11.600000000000001
222,5.34,11.58
223,5.48,11.58
224,5.38,11.540000000000001
225,5.46,11.559999999999999
226,5.38,11.559999999999999
227,5.46,11.58
228,5.42,11.559999999999999
229,5.46,11.58
230,5.36,11.58
231,5.46,11.62
232,5.4,11.600000000000001
233,5.48,11.64
234,5.36,11.62
235,5.46,11.62
236,5.38,11.62
237,5.4399999999999995,11.68
238,5.4,11.62
239,5.48,11.66
240,5.46,11.64
241,5.5,11.66
242,5.42,11.600000000000001
243,5.5,11.66
244,5.4399999999999995,11.600000000000001
245,5.58,11.62
246,5.5,11.62
247,5.58,11.68
248,5.46,11.66
249,5.48,11.68
250,5.48,11.66
251,5.52,11.700000000000001
252,5.4399999999999995,11.600000000000001
253,5.54,11.68
254,5.48,11.559999999999999
255,5.58,11.58
256,5.48,11.540000000000001
257,5.56,11.64
258,5.46,11.600000000000001
259,5.58,11.64
260,5.46,11.540000000000001
261,5.54,11.62
262,5.5,11.52
263,5.56,11.64
264,5.48,11.62
265,5.54,11.62
266,5.5,11.58
267,5.52,11.58
268,5.48,11.5
269,5.56,11.559999999999999
270,5.52,11.5
271,5.58,11.559999999999999
272,5.54,11.540000000000001
273,5.58,11.58
274,5.5,11.52
275,5.54,11.600000000000001
276,5.52,11.52
277,5.52,11.58
278,5.48,11.48
279,5.52,11.559999999999999
280,5.4399999999999995,11.5
281,5.56,11.52
282,5.48,11.5
283,5.54,11.5
284,5.52,11.5
285,5.54,11.52
286,5.52,11.5
287,5.54,11.52
288,5.52,11.48
289,5.58,11.48
290,5.5,11.48
291,5.58,11.5
292,5.5,11.48
293,5.54,11.559999999999999
294,5.48,11.5
295,5.56,11.559999999999999
296,5.46,11.42
297,5.5,11.48
298,5.48,11.44
