Iteration,2 Features Training Error (%),2 Features Testing Error (%),4 Features Training Error (%),4 Features Testing Error (%),6 Features Training Error (%),6 Features Testing Error (%)
1,17.41,17.21,17.8,26.95,26.65,27.17
2,28.23,27.68,28.62,39.22,39.3,39.92
3,12.7,12.66,12.73,23.15,23.88,23.27
4,18.26,17.99,18.21,29.48,30.4,29.28
5,10.88,11.02,10.94,21.43,22.1,21.68
6,14.32,14.42,14.55,25.63,26.3,25.63
7,10.0,10.01,10.14,20.72,21.3,20.85
8,12.55,12.9,12.8,23.57,24.28,23.77
9,9.43,9.65,9.53,19.98,20.6,20.37
10,11.5,11.75,11.8,22.47,23.1,22.57
11,9.29,9.3,9.39,19.75,20.07,19.9
12,11.07,11.18,11.17,21.65,22.0,21.83
13,9.05,9.18,9.17,19.58,19.92,19.5
14,10.58,10.76,10.8,21.35,21.43,21.22
15,8.76,9.07,9.05,19.3,19.55,19.52
16,10.16,10.53,10.42,20.63,21.3,20.98
17,8.67,8.96,8.91,19.28,19.72,19.35
18,9.94,10.18,10.25,20.85,20.87,20.67
19,8.48,8.81,8.87,19.37,19.62,19.13
20,9.69,9.92,9.97,20.5,20.67,20.62
21,8.41,8.77,8.73,19.25,19.18,19.03
22,9.6,9.79,9.78,20.42,20.27,20.22
23,8.37,8.7,8.69,19.4,19.33,19.1
24,9.3,9.68,9.72,20.37,20.35,19.92
25,8.37,8.6,8.65,19.28,19.47,19.15
26,9.29,9.5,9.61,20.15,20.23,19.92
27,8.31,8.52,8.55,19.08,19.38,19.17
28,9.27,9.44,9.48,20.03,19.98,19.93
29,8.37,8.5,8.6,19.08,19.32,19.05
30,9.29,9.31,9.31,20.0,19.9,19.77
31,8.47,8.44,8.45,18.93,19.25,19.0
32,9.21,9.22,9.24,19.7,19.83,19.6
33,8.45,8.42,8.5,18.83,19.28,18.97
34,9.13,9.09,9.22,19.5,19.78,19.57
35,8.37,8.4,8.5,18.85,19.23,18.95
36,9.03,9.1,9.1,19.35,19.82,19.62
37,8.34,8.41,8.42,18.72,19.22,19.07
38,8.97,9.0,9.13,19.27,19.72,19.42
39,8.26,8.43,8.51,18.57,19.2,19.03
40,8.85,8.97,9.12,19.23,19.58,19.3
41,8.14,8.29,8.47,18.63,19.15,18.93
42,8.84,8.9,9.01,19.12,19.6,19.33
43,8.14,8.35,8.45,18.7,19.07,18.98
44,8.76,8.93,9.01,19.2,19.57,19.6
45,8.13,8.29,8.5,18.78,18.97,19.08
46,8.69,8.79,8.99,19.1,19.53,19.53
47,8.14,8.25,8.44,18.68,19.13,19.15
48,8.65,8.78,8.99,19.17,19.58,19.4
49,8.18,8.25,8.45,18.72,19.08,19.15
50,8.67,8.73,8.91,19.3,19.6,19.4
51,8.19,8.25,8.45,18.65,19.03,19.07
52,8.59,8.77,8.93,19.15,19.35,19.42
53,8.17,8.22,8.35,18.75,19.0,18.98
54,8.63,8.75,8.89,19.4,19.45,19.42
