Iteration,2 Features Training Error (%),2 Features Testing Error (%),4 Features Training Error (%),4 Features Testing Error (%),6 Features Training Error (%),6 Features Testing Error (%)
0,9.22,15.36,9.96,16.7,9.96,15.8
1,15.58,23.1,16.56,23.24,16.939999999999998,22.88
2,7.140000000000001,13.62,7.28,13.72,7.26,13.88
3,10.04,18.32,10.74,17.52,9.98,16.8
4,6.4,13.6,6.279999999999999,12.64,6.460000000000001,12.98
5,8.72,16.66,8.6,15.02,8.3,15.3
6,5.86,13.58,6.12,12.4,6.0,12.62
7,7.56,15.56,7.779999999999999,14.42,7.56,14.14
8,5.54,12.8,5.779999999999999,12.24,6.08,12.18
9,6.945,14.750000000000002,7.3020000000000005,13.783999999999999,6.9399999999999995,13.601999999999999
10,5.29,12.695559999999999,5.518,11.789000000000001,5.87,12.450000000000001
11,6.395,13.787,6.592,13.205,6.948199999999999,13.6408
12,5.045,12.450000000000001,5.462,11.723999999999998,5.3,12.421999999999999
13,6.3100000000000005,13.795559999999998,6.478000000000001,13.149000000000001,6.61,13.53
14,5.255,12.567,5.292,11.845,5.3282,12.1808
15,6.365,13.49,5.941999999999999,12.783999999999999,6.24,13.181999999999999
16,5.23,12.515559999999999,5.218,11.829,5.329999999999999,12.290000000000001
17,6.135,13.167,5.8919999999999995,12.645000000000001,6.1082,13.1808
18,5.2250000000000005,12.17,4.981999999999999,11.924,5.18,12.021999999999998
19,5.83,12.995559999999998,5.797999999999999,12.609,6.01,12.790000000000001
20,5.154999999999999,12.127,5.071999999999999,11.745000000000001,5.2282,12.0208
21,5.665,12.790000000000001,5.622,12.344,5.84,12.622
22,5.010000000000001,12.055559999999998,5.018,11.789000000000001,5.25,11.89
23,5.655,12.487,5.771999999999999,12.325000000000001,5.7482,12.660799999999998
24,4.825,11.85,4.981999999999999,11.803999999999998,5.04,11.882
25,5.390000000000001,12.535559999999998,5.478,12.229000000000001,5.83,12.43
26,4.875,11.847,5.071999999999999,11.725000000000001,5.1682,11.7608
27,5.485,12.19,5.322,12.443999999999999,5.76,12.382
28,4.930000000000001,11.895559999999998,4.998,11.789000000000001,5.23,11.67
29,5.475,12.127,5.311999999999999,12.385000000000002,5.5682,12.2208
30,4.825,11.75,4.962,11.984,5.1,11.622
31,5.29,12.195559999999999,5.398,12.349,5.529999999999999,11.93
32,4.895,11.847,5.032,11.965000000000002,5.2482,11.6008
33,5.1049999999999995,12.11,5.322,12.143999999999998,5.4799999999999995,11.962
34,4.7700000000000005,11.775559999999999,4.998,11.749,5.1899999999999995,11.51
35,5.234999999999999,11.907,5.412,12.145000000000001,5.5282,11.8408
36,4.925,11.63,4.902,11.664,5.16,11.341999999999999
37,5.31,12.095559999999999,5.358,12.189,5.6499999999999995,11.75
38,5.114999999999999,11.667,4.9319999999999995,11.745000000000001,5.2682,11.4008
39,5.345,12.03,5.241999999999999,12.264,5.5,11.761999999999999
40,5.03,11.855559999999999,4.938,11.849,5.27,11.39
41,5.374999999999999,11.867,5.351999999999999,12.225000000000001,5.5081999999999995,11.7808
42,4.945,11.63,4.7219999999999995,11.844,5.08,11.322
43,5.31,12.135559999999998,5.337999999999999,12.069,5.45,11.61
44,4.995,11.647,4.992,11.625,5.0882,11.3608
45,5.2250000000000005,11.97,5.202,12.024,5.42,11.581999999999999
46,4.87,11.755559999999997,4.958,11.529,5.09,11.31
47,5.395,11.867,5.232,11.825000000000001,5.4282,11.5208
48,4.945,11.43,4.842,11.484,5.16,11.282
49,5.29,12.035559999999998,5.278,11.689,5.529999999999999,11.47
50,4.995,11.607,4.992,11.365,5.2482,11.3208
51,5.305,11.89,5.142,11.664,5.5,11.501999999999999
52,5.03,11.695559999999999,4.958,11.509,5.37,11.27
53,5.455,11.827,5.132,11.745000000000001,5.5282,11.5808
54,5.1450000000000005,11.59,4.802,11.443999999999999,5.28,11.382
55,5.3500000000000005,11.895559999999998,5.178,11.669,5.59,11.61
56,5.015,11.467,4.9319999999999995,11.345,5.2882,11.3608
57,5.305,11.73,5.202,11.664,5.4,11.562
58,4.930000000000001,11.635559999999998,5.038,11.329,5.25,11.31
59,5.234999999999999,11.727,5.191999999999999,11.645000000000001,5.4682,11.5808
60,4.965,11.49,4.822,11.383999999999999,5.12,11.382
61,5.29,11.855559999999999,5.117999999999999,11.609,5.37,11.47
62,5.055,11.547,4.912,11.365,5.1282000000000005,11.3608
63,5.165,11.65,5.062,11.744,5.38,11.542
64,4.930000000000001,11.595559999999999,4.898,11.269,5.23,11.370000000000001
65,5.175,11.647,5.292,11.465000000000002,5.3282,11.5008
66,4.905,11.51,5.002,11.164,5.1,11.282
67,5.11,11.875559999999998,5.358,11.489,5.41,11.59
68,4.975,11.547,4.992,11.265,5.0882,11.4008
69,5.185,11.71,5.202,11.584,5.3,11.562
70,4.85,11.675559999999997,4.938,11.289000000000001,5.17,11.23
71,5.234999999999999,11.747,5.252,11.545,5.4482,11.5208
72,4.885,11.59,4.802,11.424,5.0600000000000005,11.282
73,5.19,11.815559999999998,5.117999999999999,11.529,5.43,11.55
74,4.975,11.547,4.952,11.285,5.1482,11.3808
75,5.265,11.63,5.062,11.604,5.4,11.482
76,5.010000000000001,11.555559999999998,4.938,11.389000000000001,5.29,11.39
77,5.295,11.507,5.292,11.545,5.4082,11.6208
78,4.985,11.35,4.882,11.404,5.1,11.581999999999999
79,5.210000000000001,11.595559999999999,5.218,11.529,5.43,11.63
80,5.035,11.347,4.9719999999999995,11.305000000000001,5.1882,11.5208
81,5.2250000000000005,11.41,5.082,11.563999999999998,5.32,11.661999999999999
82,5.03,11.415559999999997,4.958,11.289000000000001,5.23,11.43
83,5.335,11.387,5.271999999999999,11.525,5.4482,11.5808
84,5.085,11.19,4.922,11.244,5.12,11.421999999999999
85,5.19,11.575559999999998,5.1979999999999995,11.389000000000001,5.29,11.61
86,5.135,11.247,5.132,11.225000000000001,5.0482,11.5008
87,5.245,11.370000000000001,5.122,11.484,5.22,11.562
88,5.03,11.315559999999998,5.098,11.229000000000001,5.23,11.370000000000001
89,5.215,11.307,5.271999999999999,11.505,5.3682,11.6208
